FN-FN|Fairness|Fairness|Dieses Risikogebiet adressiert das Risiko, dass die KI-Anwendung während der Entwicklung unfaires bzw. diskriminierendes Verhalten gegenüber Nutzer*innen oder Betroffenen lernt.
FN-BD|Fairness|Beherrschung der Dynamik|Dieses Risikogebiet behandelt Risiken hinsichtlich Fairness, die sich durch Veränderungen der Rahmenbedingungen oder Änderungen im Nutzerverhalten ergeben.
AK-GE|Autonomie und Kontrolle|Angemessene und verantwortungsvolle Gestaltung der Aufgabenverteilung zwischen Mensch und KI-Anwendung (GE)|Dieses Risikogebiet behandelt Risiken, die sich aus Einschränkungen der Nutzerautonomie bzw. unangemessener Autonomie der KI-Anwendung ergeben.
AK-IB|Autonomie und Kontrolle|Sicherstellung der Informiertheit und Befähigung von Nutzer*innen und Betroffenen (IB)|Dieses Risikogebiet adressiert Risiken, die dadurch entstehen, dass Nutzer*innen und Betroffene unzureichend über die KI-Anwendung, deren Nutzung sowie die damit verbundenen Risiken aufgeklärt werden.
TR-NB|Transparenz|Transparenz gegenüber Nutzer*innen und Betroffenen (NB)|Dieses Risikogebiet befasst sich mit Risiken, die dadurch entstehen, dass Entscheidungen und Auswirkungen der KI-Anwendung gegenüber Nutzer*innen und Betroffenen nicht hinreichend erklärt werden können.
TR-EX|Transparenz|Transparenz für Expert*innen (EX)|Dieses Risikogebiet widmet sich Risiken, die dadurch entstehen, dass das Verhalten der KI-Anwendung von einem*einer Expert*in nicht hinreichend verstanden und nachvollzogen werden kann.
TR-AF|Transparenz|Auditfähigkeit (AF)|Dieses Risikogebiet behandelt Risiken, die dadurch entstehen, dass die Entwicklung sowie die im Einzelfall ausgeführten Vorgänge im Betrieb der KI-Anwendung nicht hinreichend dokumentiert und belegt sind.
TR-BD|Transparenz|Beherrschung der Dynamik (BD)|Dieses Risikogebiet behandelt Risiken, die dadurch entstehen, dass sich Anforderungen an die Transparenz oder die implementierten Transparenzverfahren selbst ändern.
VE-RE|Verlässlichkeit|Verlässlichkeit im Regelfall (RE)|Dieses Risikogebiet behandelt das Risiko fehlerhafter Vorhersagen durch die KI-Komponente auf regulären Eingabedaten.
VE-RO|Verlässlichkeit|Robustheit (RO)|Dieses Risikogebiet adressiert Risiken, die sich bei störungsbehafteten oder manipulierten Eingabedaten ergeben, für die jedoch eine korrekte Verarbeitung durch die KI-Komponente beabsichtigt ist. Dabei werden sowohl qualitative als auch quantitative Abweichungen der Eingabedaten betrachtet, wie etwa Rauschen oder adversariale Beispiele.
VE-AF|Verlässlichkeit|Abfangen von Fehlern auf Modellebene (AF)|Dieses Risikogebiet behandelt Risiken aus Eingabedaten, die nicht im Anwendungsbereich liegen und für die eine korrekte Bearbeitung durch die KI-Komponente nicht zu erwarten ist. Diese sollen durch eine Detektionsstrategie abgefangen werden.
VE-UN|Verlässlichkeit|Einschätzung von Unsicherheit (UN)|Dieses Risikogebiet betrachtet Risiken, die sich daraus ergeben, dass keine Unsicherheitsschätzung bezüglich Ausgaben stattfindet, oder, dass diese unrealistisch bzw. unbrauchbar ist.
VE-BD|Verlässlichkeit|Beherrschung der Dynamik (BD)|Dieses Risikogebiet befasst sich mit dem Risiko, dass das in der KI-Komponente implementierte ML-Modell aufgrund von unbeabsichtigten Model Drifts oder Veränderungen des Anwendungskontexts (Concept Drift) Einbußen an Performanz oder hinsichtlich anderer Anforderungen erfährt.
SI-FS|Sicherheit|Funktionale Sicherheit (FS)|Dieses Risikogebiet behandelt das Risiko unbeabsichtigter Personen- oder Sachschäden, die durch Fehlfunktion bzw. Ausfall der KI-Anwendung infolge mangelhaften Designs der Einbettung begünstigt oder gar verursacht werden.
SI-IV|Sicherheit|Integrität und Verfügbarkeit (IV)|Dieses Risikogebiet adressiert Risiken, die dadurch entstehen, dass die für den Betrieb der KI-Anwendung relevanten Daten verfälscht werden und dadurch die KI-Anwendung manipuliert wird und ggf. nicht mehr verfügbar ist.
SI-BD|Sicherheit|Beherrschung der Dynamik (BD)|Dieses Risikogebiet behandelt Risiken, die dadurch entstehen, dass neue Gefährdungen der genannten Risikogebiete auftreten oder etablierte Verfahren an Effektivität verlieren.
DS-PD|Datenschutz|Schutz personenbezogener Daten (PD)|Dieses Risikogebiet behandelt Risiken, die mit der nicht DSGVO-konformen Nutzung personenbezogener Daten durch die KI-Anwendung verbunden sind, sowie das Risiko der Re-Identifikation von Personen in einem Datensatz.
DS-GI|Datenschutz|Schutz geschäftsrelevanter Information (GI)|Dieses Risikogebiet adressiert Risiken, die dadurch entstehen, dass geschäftsrelevante Informationen durch die KI-Anwendung unerwünscht preisgegeben werden.
DS-PD|Datenschutz|Beherrschung der Dynamik (BD)|Dieses Risikogebiet behandelt die Risiken, dass neue Hintergrundinformationen etwa zur Erstellung eines Personenbezugs entstehen, oder dass sich die Anforderungen an die Verarbeitung von Daten durch die KI-Anwendung ändern.
